Time,Provider,Latitude,Longitude,Altitude,VerticalAccuracyMeters,Speed,SpeedAccuracyMetersPerSecond,Accuracy,Bearing,BearingAccuracyDegrees,beautiful,boring,depressing,lively,safety,wealthy,,
2019-12-12 10:10:07:321,gps,30.48191413731293,114.41308937805923,18.40319824,4.20353508,11.07999992,1.01828289,5.47740650,277.79998779,1.93906510,25.887353897094727,53.3853530883789,73.74907684326172,50.08536911010742,55.58589553833008,45.87561416625977,,
2019-12-12 10:10:08:318,gps,30.481918342070035,114.41298587459013,18.25897217,4.02298498,10.61999989,1.24020159,6.17982435,277.39999390,1.76364934,29.40563201904297,55.65711212158203,75.26136779785156,58.641502380371094,33.440948486328125,41.85734558105469,,
2019-12-12 10:10:09:323,gps,30.481930082028114,114.4128661730255,18.71649170,4.59474802,10.81999969,1.22319257,6.76037121,277.60000610,1.97718692,32.31760787963867,56.64793014526367,75.88092803955078,52.09206771850586,42.474700927734375,46.62420272827149,,
2019-12-12 10:10:10:326,gps,30.481933565112367,114.41276469686683,18.85449219,4.94162369,9.93999958,1.13718951,7.00728178,278.00000000,2.04922771,28.116437911987305,61.21973419189453,69.94912719726561,47.84015274047852,37.53127670288086,38.869606018066406,,
2019-12-12 10:10:11:316,gps,30.4819408716851,114.4126495603138,18.29711914,4.40013599,10.01000023,0.99403220,7.07934237,277.29998779,1.68946195,29.248857498168945,60.99648666381836,68.43670654296875,51.53194046020508,50.33181381225586,42.10408401489258,,
2019-12-12 10:10:12:327,gps,30.48194253573737,114.41253612139549,18.17285156,4.90635729,9.98999977,1.18431413,7.54563379,277.20001221,1.83341527,39.140777587890625,58.90266418457031,72.3713150024414,43.46428298950195,44.69837951660156,42.834632873535156,,
2019-12-12 10:10:13:293,gps,30.481946535046877,114.41244668509941,17.90649414,5.27857780,9.22000027,1.14284730,7.71926165,277.10000610,1.96871817,26.70011329650879,60.0843620300293,64.03656768798828,50.33868026733398,36.71935653686523,42.90656661987305,,
2019-12-12 10:10:14:319,gps,30.481951116112405,114.4123473553912,17.22375488,5.71578693,9.52000046,1.16764724,8.19861031,277.60000610,2.08703113,22.996049880981445,63.70132446289063,66.24507904052734,50.05570983886719,40.9156494140625,43.01905822753906,,
2019-12-12 10:10:15:310,gps,30.481969161752897,114.41224154087534,16.97509766,6.01735830,9.84000015,1.15935326,8.50205135,278.70001221,2.15349579,17.142620086669922,61.56071090698242,65.22880554199219,42.311485290527344,38.2098274230957,42.59298324584961,,
2019-12-12 10:10:16:316,gps,30.481969650733145,114.41214236967691,17.18371582,6.08885908,8.75000000,0.96400207,8.13914585,276.39999390,1.68292928,31.850433349609375,56.80728149414063,61.40809631347656,47.85132217407226,30.57524871826172,40.01565551757813,,
2019-12-12 10:10:17:309,gps,30.481974089640925,114.4120472255668,17.82745361,6.29917526,8.43999958,0.95603347,8.18218231,275.79998779,1.38656592,23.301315307617188,64.68650817871094,53.89741897583008,39.2752685546875,35.30158615112305,38.559486389160156,,
2019-12-12 10:10:18:321,gps,30.481976296657695,114.41195688753258,17.97296143,6.44271469,7.92999983,0.96400207,8.30971241,275.70001221,1.35194755,22.845186233520508,52.65166091918945,67.43864440917969,48.35977554321289,31.62954139709473,44.48552322387695,,
2019-12-12 10:10:19:318,gps,30.481988493312237,114.41188243919672,17.80841064,6.40119267,7.59999990,0.97616595,8.04284096,276.79998779,1.34410262,20.031320571899414,60.44080352783203,64.782470703125,54.443931579589844,35.56222915649414,39.12324142456055,,
2019-12-12 10:10:20:321,gps,30.48199658676178,114.4118184431765,16.75683594,6.55101728,6.53000021,0.96400207,8.11048412,277.10000610,1.36797690,27.58157730102539,63.98856735229492,66.00605773925781,46.7039909362793,34.89809417724609,35.25143814086914,,
2019-12-12 10:10:21:327,gps,30.482000228649866,114.41175522603949,16.40924072,6.68026447,5.63000011,0.94810337,8.17735100,276.70001221,1.38694274,30.906042098999023,67.85371398925781,60.56975936889648,40.70158767700195,39.10250473022461,46.26785659790039,,
2019-12-12 10:10:22:315,gps,30.482010602297574,114.41169168950282,17.26513672,6.91650867,5.46000004,1.06400192,8.49721909,276.39999390,1.47701192,26.374582290649414,63.892967224121094,61.17666625976562,54.25168991088867,40.5117301940918,47.47506713867188,,
2019-12-12 10:10:23:329,gps,30.482013393547486,114.41162873171727,17.96099854,7.02342319,5.17000008,1.10801625,8.58818531,276.29998779,1.58374381,20.849397659301758,62.386192321777344,64.36463165283203,60.79368591308594,38.3303108215332,42.53821182250977,,
2019-12-12 10:10:24:324,gps,30.482016362566085,114.41157873516504,18.61297607,6.83259916,4.34000015,1.02078402,8.28539562,276.50000000,1.61359692,21.792739868164062,58.70415878295898,57.17487716674805,54.42707061767578,36.27566909790039,44.53016662597656,,
2019-12-12 10:10:25:319,gps,30.482022812667264,114.41152736969475,19.13134766,6.80865860,3.95000005,0.92617494,8.20926189,276.50000000,1.71415138,21.187101364135742,61.21531677246094,62.96089553833008,51.21255111694336,40.089622497558594,38.06586456298828,,
2019-12-12 10:10:26:329,gps,30.482024814466612,114.41151963497276,16.65289307,6.74367714,1.08000004,0.79309523,8.05939770,277.20001221,1.82916057,21.854597091674805,58.5440902709961,61.98920059204102,52.47986221313477,38.67548751831055,42.51794815063477,,
2019-12-12 10:10:27:321,gps,30.482035602004917,114.41149128459388,16.30706787,6.72205067,1.33000004,0.78746426,7.98434639,279.39999390,1.93509650,30.839248657226562,55.73505401611328,66.33586120605469,50.27714920043945,39.24720764160156,44.92981338500977,,
2019-12-12 10:10:28:330,gps,30.482040175674094,114.41147620491242,15.97808838,6.63159132,0.82999998,0.84504437,7.78782082,283.50000000,2.05285978,21.296955108642578,61.67269897460938,59.10026931762695,46.70438003540039,47.99422073364258,49.58774948120117,,
2019-12-12 10:10:29:320,gps,30.482044540090385,114.41145593860657,15.22973633,6.59856462,1.49000001,0.90210867,7.72334051,290.00000000,2.16867328,29.952802658081055,58.97556686401367,74.166259765625,54.2144775390625,46.62975692749024,45.71725082397461,,
2019-12-12 10:10:30:314,gps,30.482050685004005,114.41143556250744,16.35522461,4.68069267,1.74000001,1.04847503,7.83545494,303.29998779,2.29116917,18.034168243408203,57.94394302368164,93.2754898071289,51.73537063598633,47.431884765625,45.62188720703125,,
2019-12-12 10:10:31:322,gps,30.482061631899807,114.41141095957195,15.92767334,5.16139698,2.16000009,1.07335925,7.94866228,303.89999390,2.41150022,25.700103759765625,65.94880676269531,73.32846069335938,58.11720657348633,40.22021484375,36.39192962646485,,
2019-12-12 10:10:32:322,gps,30.482073460090678,114.41137937124276,16.08123779,5.57649374,2.74000001,1.16284132,8.21679688,288.70001221,2.53593540,35.02737808227539,60.60632705688477,69.85246276855469,49.91561508178711,33.362335205078125,43.3171272277832,,
2019-12-12 10:10:33:308,gps,30.482085652739045,114.41131878175393,16.67718506,5.71587944,4.88999987,0.78873318,7.67013836,277.70001221,2.55170393,23.26764488220215,61.36443710327149,67.31244659423828,40.10280990600586,37.36088943481445,43.58790969848633,,
2019-12-12 10:10:34:306,gps,30.482097345334576,114.41125650312958,17.29864502,5.81162357,4.63000011,0.73878276,7.41930008,278.89999390,2.34739923,17.629831314086914,55.52778244018555,63.40576171875,42.699378967285156,31.481157302856445,39.24283218383789,,
2019-12-12 10:10:35:308,gps,30.482125636642795,114.41116497455447,18.19683838,5.79764605,5.15000010,0.96829748,7.02118158,279.50000000,2.29679298,25.82893180847168,64.37730407714844,69.36324310302734,46.04872512817383,38.5001335144043,41.56941604614258,,
2019-12-12 10:10:36:303,gps,30.482141837996508,114.41111735647452,18.48626709,5.74831343,4.69999981,0.79208583,6.60987806,279.10000610,2.23530054,34.60346221923828,54.235923767089844,58.551353454589844,45.14739227294922,42.63302230834961,42.51782989501953,,
2019-12-12 10:10:37:318,gps,30.48215189832087,114.41106408134844,19.57299805,5.61692810,4.32000017,0.71700770,6.31162167,277.70001221,1.94811809,28.847158432006836,62.23239517211914,60.07299041748047,47.55414581298828,43.49882888793945,38.89995193481445,,
2019-12-12 10:10:38:310,gps,30.482156345067768,114.41102445692965,19.54711914,5.70626450,4.00000000,0.75006664,6.25404978,276.89999390,1.93169725,23.859371185302734,61.70204162597656,57.28351211547852,44.18572235107422,37.98883819580078,39.04435348510742,,
2019-12-12 10:10:39:321,gps,30.482166894443605,114.41097755756718,19.96862793,5.61887932,4.11000013,0.71840101,6.04831791,276.70001221,1.76088738,23.336706161499023,62.76558303833008,60.29195785522461,59.30440902709961,33.309127807617195,35.91474533081055,,
2019-12-12 10:10:40:328,gps,30.482175033144152,114.41092992834425,20.72186279,5.61843824,4.09999990,0.84811556,5.99627590,276.79998779,1.77144575,17.432392120361328,55.36394882202149,64.14402008056639,53.7021598815918,33.53026962280273,36.47629928588867,,
2019-12-12 10:10:41:334,gps,30.482182781001118,114.41088710595592,20.47393799,5.45913744,4.03999996,0.70292246,5.72281265,277.00000000,1.71011937,11.328022956848145,58.021728515625,60.09178161621094,41.072601318359375,42.17120742797852,37.91441345214844,,
2019-12-12 10:10:42:341,gps,30.482188208307136,114.41084289414287,21.44952393,5.39559841,4.21999979,0.70292246,5.59706402,276.70001221,1.64849448,22.57295799255371,58.15903091430664,57.20065307617188,48.20536804199219,39.44538497924805,42.044227600097656,,
2019-12-12 10:10:43:329,gps,30.482194905569905,114.41080112082231,21.42395020,5.42137575,3.75999999,0.71063352,5.59557772,276.79998779,1.62606490,31.767410278320312,57.7966194152832,53.59877395629883,40.00888442993164,33.8505859375,31.03199005126953,,
2019-12-12 10:10:44:315,gps,30.48220065205103,114.41076281517591,21.83361816,5.45419884,3.48000002,0.70292246,5.61138773,276.70001221,1.62348104,23.33675765991211,55.10786819458008,47.20256805419922,38.66139221191406,35.504756927490234,37.75165939331055,,
2019-12-12 10:10:45:327,gps,30.482206308236123,114.41072615842623,22.39465332,5.43327427,3.27999997,0.70292246,5.59164095,276.89999390,1.60396147,27.60136604309082,51.50135803222656,55.59541320800781,44.23235702514648,26.69087028503418,30.62059783935547,,
2019-12-12 10:10:46:331,gps,30.482212414357154,114.41069056099387,22.83111572,5.41105175,3.24000001,0.71840101,5.52999544,277.79998779,1.61050916,26.023757934570312,55.85259628295898,46.6881217956543,46.77061080932617,40.86645126342773,46.08822631835938,,
2019-12-12 10:10:47:318,gps,30.48221768919894,114.41066309841023,22.81347656,5.46833277,2.24000001,0.75006664,5.53349543,279.10000610,1.68299747,20.224449157714844,62.24977493286133,51.3043098449707,47.11862564086914,37.471439361572266,46.16654586791992,,
2019-12-12 10:10:48:334,gps,30.48222182267416,114.41064402052788,22.91693115,5.51210213,1.50000000,0.71700770,5.59382677,279.60000610,1.74568546,24.649944305419922,64.8707275390625,49.96345901489258,49.93655014038086,38.9875602722168,44.24555969238281,,
2019-12-12 10:10:49:321,gps,30.482225894666502,114.41063697522034,23.03906250,6.10894966,0.00000000,0.08602326,6.67684937,0.00000000,0.00000000,24.753482818603516,60.577842712402344,47.06042861938477,47.35043716430664,36.75149154663086,42.04933166503906,,
2019-12-12 10:10:50:328,gps,30.482226635265857,114.4106337272836,22.69024658,6.02192068,0.00000000,0.09219544,6.60455227,0.00000000,0.00000000,26.06178855895996,61.45591735839844,47.84085083007813,43.95630645751953,39.18397521972656,41.282711029052734,,
2019-12-12 10:10:51:319,gps,30.482226175617594,114.41062973969655,22.77807617,6.02247620,0.00000000,0.08602326,6.63395166,0.00000000,0.00000000,28.0874080657959,59.35686492919922,50.73719787597656,49.92790222167969,44.36812973022461,40.04244613647461,,
2019-12-12 10:10:52:312,gps,30.482224025622486,114.41062469261266,23.20031738,6.02030230,0.00000000,0.08602326,6.67091084,0.00000000,0.00000000,25.347793579101562,59.1291618347168,51.12564086914063,50.25166320800781,39.38334274291992,39.794105529785156,,
2019-12-12 10:10:53:311,gps,30.482222335540406,114.41062143446811,23.56408691,5.98784256,0.00000000,0.08602326,6.63289118,0.00000000,0.00000000,26.82596206665039,60.89343643188477,46.53152465820313,53.15097427368164,42.72737503051758,39.16645050048828,,
2019-12-12 10:10:54:301,gps,30.48221960522399,114.41061769652708,24.04058838,5.91868210,0.00000000,0.08602326,6.53959465,0.00000000,0.00000000,30.414810180664062,62.11823272705078,49.91969680786133,49.78239822387695,41.40909194946289,39.52044677734375,,
2019-12-12 10:10:55:316,gps,30.482217575200007,114.41061314914369,24.16021729,5.85132790,0.00000000,0.08602326,6.46227932,0.00000000,0.00000000,27.532329559326172,62.153892517089844,53.31712341308594,46.22909164428711,41.17334365844727,40.08310317993164,,
2019-12-12 10:10:56:311,gps,30.48221631544817,114.41060812212098,24.45477295,5.85645485,0.00000000,0.08602326,6.46730232,0.00000000,0.00000000,29.93412208557129,62.95698928833008,51.63568115234375,46.85061645507813,41.29864883422852,38.111473083496094,,
2019-12-12 10:10:57:308,gps,30.482214655676092,114.41060231554052,24.66979980,5.87100792,0.00000000,0.08602326,6.47384310,0.00000000,0.00000000,26.445709228515625,61.58938217163086,50.60081100463867,45.35625839233398,40.24825286865234,38.40188980102539,,
2019-12-12 10:10:58:298,gps,30.4822123158273,114.4105955394937,24.83642578,5.73790693,0.00000000,0.08602326,6.30519056,0.00000000,0.00000000,27.09821319580078,61.51018524169922,50.9679069519043,48.76645278930664,39.48323059082031,37.768157958984375,,
2019-12-12 10:10:59:315,gps,30.482209185241402,114.4105930907224,24.76324463,5.63765144,0.00000000,0.08602326,6.16604137,0.00000000,0.00000000,28.974912643432617,59.0421257019043,48.3878059387207,48.46709442138672,41.2793083190918,38.43791961669922,,
2019-12-12 10:11:00:319,gps,30.4822064549381,114.41058920286801,24.89849854,5.52220821,0.00000000,0.08602326,5.97932100,0.00000000,0.00000000,26.86867904663086,59.34663009643555,46.2755012512207,48.73719787597656,40.01103591918945,41.998512268066406,,
2019-12-12 10:11:01:304,gps,30.482204905048786,114.41058460555064,25.20654297,5.34592056,0.00000000,0.08602326,5.74210548,0.00000000,0.00000000,25.904672622680664,62.03317260742188,48.22638702392578,51.4018669128418,40.14364242553711,44.95760726928711,,
2019-12-12 10:11:02:315,gps,30.482206005378277,114.41058442575681,24.93438721,5.29019403,0.00000000,0.08602326,5.62852669,0.00000000,0.00000000,28.359466552734375,62.09491729736328,43.30044174194336,47.94284439086914,37.573158264160156,44.26308822631836,,
2019-12-12 10:11:03:302,gps,30.48220754607475,114.41058218726289,25.57305908,5.01436329,0.00000000,0.08602326,5.28021526,0.00000000,0.00000000,30.50056266784668,62.31856155395508,41.901268005371094,47.96878433227539,40.54879760742188,43.92356872558594,,
2019-12-12 10:11:04:309,gps,30.482209016867166,114.41057896936255,25.80426025,4.70381308,0.00000000,0.08602326,4.92165899,0.00000000,0.00000000,29.029340744018555,62.58942413330078,44.27521133422852,50.61354064941406,39.92744445800781,41.7833137512207,,
2019-12-12 10:11:05:316,gps,30.482208066897332,114.41057646081609,26.04571533,4.55282831,0.00000000,0.08602326,4.75616598,0.00000000,0.00000000,26.829208374023438,61.56255722045898,44.15319442749024,48.73394012451172,39.81048583984375,42.56632995605469,,
2019-12-12 10:11:06:314,gps,30.482211258414708,114.41057117433135,26.54797363,4.35258627,0.00000000,0.08602326,4.52042532,0.00000000,0.00000000,28.461118698120117,63.39057540893555,43.80710983276367,50.06053161621094,39.37333679199219,42.20382308959961,,
2019-12-12 10:11:07:294,gps,30.482220681437706,114.41056791714712,27.32360840,4.18051195,0.00000000,0.08602326,4.31504393,0.00000000,0.00000000,28.715341567993164,61.05870056152344,43.79621505737305,46.92186737060547,39.34480667114258,41.967857360839844,,
2019-12-12 10:11:08:315,gps,30.482227923870642,114.41056447988228,26.94763184,4.08647585,0.00000000,0.08602326,4.22214460,0.00000000,0.00000000,28.579425811767578,60.8305778503418,45.11328506469727,47.1731071472168,41.12245559692383,43.50804901123047,,
2019-12-12 10:11:09:309,gps,30.48223421609205,114.41056057282128,26.47955322,4.08913231,0.00000000,0.08602326,4.19882536,0.00000000,0.00000000,26.206735610961914,63.4080810546875,40.71109008789063,48.76780319213867,42.99764633178711,41.85953140258789,,
2019-12-12 10:11:10:306,gps,30.48224091827306,114.41055798498866,25.98339844,4.04140806,0.00000000,0.08602326,4.16073084,0.00000000,0.00000000,24.72905731201172,67.04110717773439,47.93798065185547,51.59145736694336,41.41632461547852,44.2335090637207,,
2019-12-12 10:11:11:312,gps,30.482249550978242,114.41055553723847,25.93103027,3.88524294,0.00000000,0.08602326,4.03385019,0.00000000,0.00000000,24.200878143310547,61.6197280883789,45.15521240234375,47.89754104614258,41.01367568969727,46.8402099609375,,
2019-12-12 10:11:12:319,gps,30.482257913355994,114.41055523815093,25.66400146,3.93526053,0.00000000,0.08602326,4.05243683,0.00000000,0.00000000,25.804298400878906,66.92996978759766,43.33737182617188,49.76824188232422,41.49000549316406,40.22158432006836,,
2019-12-12 10:11:13:330,gps,30.482262695096725,114.41055181066326,25.31024170,4.06584549,0.00000000,0.08602326,4.16042995,0.00000000,0.00000000,17.197784423828125,59.98900985717773,37.05683517456055,44.43500900268555,33.79129409790039,41.92616271972656,,
2019-12-12 10:11:14:333,gps,30.482267266933363,114.41054705396878,24.83428955,4.11756611,0.00000000,0.08602326,4.22682762,0.00000000,0.00000000,22.16600799560547,67.21819305419922,46.29442596435547,47.85232925415039,36.99713134765625,45.207862854003906,,
2019-12-12 10:11:15:336,gps,30.48227591934107,114.41054719463777,24.64935303,4.12447834,0.00000000,0.08602326,4.22277308,0.00000000,0.00000000,16.276241302490234,56.81084442138672,43.79825210571289,49.01893997192383,38.67131042480469,48.29644775390625,,
2019-12-12 10:11:16:334,gps,30.48227914982934,114.41055076273938,24.56555176,4.03886461,0.00000000,0.08602326,4.09288788,0.00000000,0.00000000,27.390165328979492,57.09505844116211,46.288352966308594,45.61948013305664,39.158294677734375,46.76783752441406,,
2019-12-12 10:11:17:335,gps,30.48228197022204,114.41055416090846,25.24194336,3.94511151,0.00000000,0.08602326,3.96944523,0.00000000,0.00000000,28.682907104492188,63.11252212524414,44.193153381347656,47.79670333862305,38.63869094848633,42.68557739257813,,
2019-12-12 10:11:18:329,gps,30.482278358907145,114.41055674901109,26.00183105,3.79640317,0.00000000,0.08602326,3.80419922,0.00000000,0.00000000,26.088977813720703,58.041282653808594,45.769691467285156,50.45660400390625,37.571510314941406,42.82220458984375,,
2019-12-12 10:11:19:335,gps,30.48228226010667,114.4105558399073,26.40362549,3.90004230,0.00000000,0.08602326,3.90080309,0.00000000,0.00000000,26.473033905029297,60.07884216308594,47.19680404663086,48.74898910522461,38.91630172729492,42.42073440551758,,
2019-12-12 10:11:20:327,gps,30.482285421345658,114.41055282202797,26.70166016,3.91194415,0.00000000,0.08602326,3.93783283,0.00000000,0.00000000,33.18946838378906,60.0679702758789,47.324745178222656,49.213600158691406,39.31587600708008,44.5859375,,
2019-12-12 10:11:21:322,gps,30.482288682845827,114.41054780537824,26.78955078,3.81849551,0.00000000,0.08602326,3.88039303,0.00000000,0.00000000,28.689271926879883,65.44011688232422,50.6524543762207,47.33968353271485,40.6624870300293,41.62057113647461,,
2019-12-12 10:11:22:298,gps,30.48229196440292,114.41054233900365,26.44384766,3.59487724,0.00000000,0.08602326,3.79009247,0.00000000,0.00000000,32.659385681152344,58.15185928344727,43.971412658691406,45.35647964477539,39.16925811767578,41.27903747558594,,
