Time,Provider,Latitude,Longitude,Altitude,VerticalAccuracyMeters,Speed,SpeedAccuracyMetersPerSecond,Accuracy,Bearing,BearingAccuracyDegrees,beautiful,boring,depressing,lively,safety,wealthy,
2019-12-29 13:35:29:161,gps,30.507007586280547,114.4132871913272,27.90832520,4.27461290,5.96999979,4.56326628,4.41669464,9.50000000,33.75435257,29.143396377563477,56.99479675292969,42.95040893554688,24.95238304138184,27.406064987182614,24.72941398620605,
2019-12-29 13:35:30:161,gps,30.507036625435195,114.4132859248111,26.09735107,4.38281679,4.21000004,4.44668436,4.54064989,9.60000038,50.36664581,31.05790901184082,64.06000518798828,42.78963851928711,32.601333618164055,31.57816505432129,25.50076675415039,
2019-12-29 13:35:31:165,gps,30.507047728000853,114.41328935321451,25.75994873,4.19254208,2.25000000,4.32140017,4.35109997,7.40000010,53.57368469,30.95557403564453,64.25857543945311,43.911048889160156,32.34662628173828,32.4713134765625,26.454059600830078,
2019-12-29 13:35:32:168,gps,30.507045398145202,114.41328577568882,26.53430176,4.32246637,0.88000000,4.20481873,4.49655247,7.09999990,54.56114197,32.59270477294922,66.02251434326172,43.9484748840332,30.04589080810547,31.693159103393555,26.04339408874512,
2019-12-29 13:35:33:162,gps,30.507049210826622,114.41327941078434,26.74249268,4.77237844,0.37000000,4.07953405,4.97352982,6.80000019,56.20282745,30.400798797607422,64.20845031738281,42.75530242919922,32.083290100097656,31.858888626098636,30.6071891784668,
2019-12-29 13:35:34:168,gps,30.507054110987358,114.41328499703246,26.61199951,4.48749542,0.50999999,3.97166204,4.68217039,7.00000000,58.83264542,29.41855239868164,65.32994079589844,42.97018432617188,30.200719833374023,32.349822998046875,29.33786964416504,
2019-12-29 13:35:35:166,gps,30.507052940893086,114.4132838977529,25.74914551,4.95060635,0.20000000,3.85999990,5.17339754,7.00000000,60.27243042,29.348127365112305,64.76812744140625,43.488197326660156,33.156970977783196,32.49280166625977,30.54915809631348,
2019-12-29 13:35:36:185,gps,30.507050862302137,114.41327533397798,26.11480713,4.91450739,0.00000000,0.34713110,5.10359001,0.00000000,0.00000000,26.10785675048828,66.27835845947266,42.02591323852539,37.84550476074219,34.801158905029304,34.01755523681641,
2019-12-29 13:35:37:170,gps,30.507056063508966,114.41327692324354,27.11535645,4.85350609,0.00000000,0.14212671,10.55847454,0.00000000,0.00000000,29.531532287597656,65.48554229736328,42.069671630859375,32.689769744873054,33.279251098632805,31.64930534362793,
2019-12-29 13:35:38:159,gps,30.507056603737972,114.41327665349247,28.19036865,5.18478584,0.00000000,0.14212671,10.73014927,0.00000000,0.00000000,25.379100799560547,63.61552810668945,43.57672500610352,34.176692962646484,34.15678024291992,32.223350524902344,
2019-12-29 13:35:39:161,gps,30.507057564302347,114.4132755144283,28.74481201,6.04130125,0.00000000,0.14212671,11.16301441,0.00000000,0.00000000,26.37999725341797,63.01496505737305,43.75725936889648,33.952545166015625,34.01901626586914,32.43141555786133,
2019-12-29 13:35:40:161,gps,30.507063925212172,114.41327983175442,29.84960938,6.12046909,0.00000000,0.14212671,11.21894836,0.00000000,0.00000000,25.089033126831055,63.19751358032226,43.99031066894531,33.95512008666992,33.7479248046875,32.63358688354492,
2019-12-29 13:35:41:164,gps,30.507064316108163,114.41327657422529,30.15014648,5.81411743,0.00000000,0.12806249,11.06731415,0.00000000,0.00000000,25.717275619506836,63.21454238891602,44.25617218017578,34.08812713623047,34.06746292114258,32.694198608398445,
2019-12-29 13:35:42:165,gps,30.507064357701626,114.41326993919047,29.73510742,5.73189831,0.00000000,0.12806249,11.03170490,0.00000000,0.00000000,25.057823181152344,63.26549530029297,44.30071258544922,34.726531982421875,33.655941009521484,32.555984497070305,
2019-12-29 13:35:43:168,gps,30.50706220813553,114.41326536242389,29.57751465,5.29174232,0.00000000,0.12806249,10.79617405,0.00000000,0.00000000,24.560598373413086,63.188720703125,44.06530380249024,34.345260620117195,33.591053009033196,32.35511016845703,
2019-12-29 13:35:44:180,gps,30.507060668628586,114.41326131531378,29.87506104,5.77061081,0.00000000,0.12041595,11.01745605,0.00000000,0.00000000,25.73590850830078,63.32735061645508,44.14726638793945,34.16373825073242,33.91082000732422,32.749595642089844,
2019-12-29 13:35:45:169,gps,30.50706174809274,114.41326495268994,30.30407715,5.58545637,0.00000000,0.12041595,10.91904545,0.00000000,0.00000000,24.12094497680664,63.02175903320313,44.55231475830078,34.976924896240234,34.12097549438477,32.638614654541016,
2019-12-29 13:35:46:164,gps,30.507063428293534,114.41326626185821,30.10626221,5.43787909,0.00000000,0.12041595,10.83727551,0.00000000,0.00000000,25.57881736755371,63.32432174682617,43.92286682128906,33.40435028076172,34.58829879760742,33.23694610595703,
2019-12-29 13:35:47:166,gps,30.507062997355913,114.41326964928841,29.95965576,5.03157425,0.00000000,0.12041595,10.61918640,0.00000000,0.00000000,23.381961822509766,63.53112411499024,45.11456680297852,36.16119003295898,33.765819549560554,33.26398086547852,
2019-12-29 13:35:48:160,gps,30.507060316538656,114.41326964905447,28.77697754,5.23958063,0.00000000,0.11401755,10.71921062,0.00000000,0.00000000,23.33018684387207,63.18960952758789,44.41001892089844,35.197181701660156,34.233261108398445,32.999340057373054,
2019-12-29 13:35:49:168,gps,30.50705888689481,114.41326632141708,28.14715576,5.40132570,0.00000000,0.11401755,10.79493046,0.00000000,0.00000000,24.748611450195312,64.25855255126953,45.55754470825195,34.39032745361328,34.169139862060554,33.10530471801758,
2019-12-29 13:35:50:170,gps,30.507057076326216,114.4132663912068,28.21972656,5.28589535,0.00000000,0.11401755,10.72758579,0.00000000,0.00000000,24.43975830078125,63.68476867675781,45.13395690917969,34.31697463989258,34.77380752563477,32.70690155029297,
2019-12-29 13:35:51:171,gps,30.507053644637956,114.4132690888906,28.04272461,6.24800730,0.00000000,0.11401755,11.19446373,0.00000000,0.00000000,25.217004776000977,62.5304183959961,45.73003768920898,35.116260528564446,35.82040786743164,32.249454498291016,
2019-12-29 13:35:52:173,gps,30.50705565438919,114.41327270636145,28.59942627,6.41380930,0.00000000,0.08602326,11.26257515,0.00000000,0.00000000,24.690092086791992,63.5260009765625,46.46804428100586,35.38825225830078,34.020103454589844,32.190189361572266,
2019-12-29 13:35:53:171,gps,30.507054433185864,114.41327619364687,28.71014404,5.42456388,0.00000000,0.08602326,10.79056931,0.00000000,0.00000000,25.662036895751953,62.85874938964844,46.49571990966797,35.30592727661133,34.02968215942383,31.97192001342773,
2019-12-29 13:35:54:165,gps,30.507052522820242,114.41327528416025,28.12744141,5.06063509,0.00000000,0.08602326,10.62659359,0.00000000,0.00000000,24.716323852539062,63.13915252685547,46.83735275268555,35.87797927856445,34.22078323364258,32.283660888671875,
2019-12-29 13:35:55:165,gps,30.507055713704847,114.41327565416218,27.61004639,4.62972355,0.00000000,0.08602326,10.41825962,0.00000000,0.00000000,23.647397994995117,63.097129821777344,46.69502639770508,36.339351654052734,33.478771209716804,32.316864013671875,
2019-12-29 13:35:56:172,gps,30.50705794401076,114.41327722318341,26.99713135,4.17688847,0.00000000,0.08602326,10.23057175,0.00000000,0.00000000,24.763296127319336,62.97505569458008,46.80872344970703,36.86664581298828,34.22084426879883,32.618091583251946,
2019-12-29 13:35:57:172,gps,30.50705975422425,114.41327864227999,27.45166016,3.97555828,0.00000000,0.08602326,10.18137360,0.00000000,0.00000000,25.14694595336914,63.6959457397461,46.997764587402344,35.2830810546875,34.473655700683594,32.66146850585937,
2019-12-29 13:35:58:166,gps,30.507060142864347,114.41328483767848,27.38488770,3.79027843,0.00000000,0.08602326,10.13732815,0.00000000,0.00000000,24.79680633544922,64.16262817382811,47.57674789428711,35.432899475097656,34.195972442626946,32.65530014038086,
2019-12-29 13:35:59:170,gps,30.50706064312421,114.41328438805864,28.02587891,3.38446832,0.00000000,0.08602326,10.02420712,0.00000000,0.00000000,23.857797622680664,62.61800003051758,47.55369567871094,35.327022552490234,34.80625534057617,32.52433013916016,
2019-12-29 13:36:00:162,gps,30.50706251351785,114.41328512766849,28.98852539,3.27485347,0.00000000,0.08602326,10.00236511,0.00000000,0.00000000,23.265480041503906,63.47864532470703,47.019004821777344,35.10356903076172,33.570770263671875,32.948036193847656,
2019-12-29 13:36:01:166,gps,30.507064464663717,114.41328281956609,29.44750977,3.00592256,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,24.829904556274414,63.32590866088867,46.98909378051758,36.23763275146485,34.386768341064446,32.32981491088867,
2019-12-29 13:36:02:169,gps,30.50706550631854,114.41327721385082,29.66424561,2.86317325,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,25.34185028076172,64.73410034179689,50.17586898803711,38.19763946533203,33.47233200073242,32.400928497314446,
2019-12-29 13:36:03:167,gps,30.507066957775553,114.41327295716104,29.17797852,2.82043719,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,25.443695068359375,62.819313049316406,48.20333862304688,32.61171340942383,34.36552047729492,31.66423225402832,
2019-12-29 13:36:04:172,gps,30.507070529821153,114.41326894047612,28.77349854,2.86666489,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,26.385906219482422,61.93322372436523,46.53462600708008,36.23470687866211,35.54376220703125,35.07504653930664,
2019-12-29 13:36:06:262,gps,30.507076261554285,114.41326900093148,28.30889893,3.01251221,0.00000000,0.08602326,9.95562553,0.00000000,0.00000000,25.959491729736328,60.60747146606445,45.15478897094727,36.36528015136719,34.220169067382805,34.760635375976555,
2019-12-29 13:36:07:165,gps,30.50707344817732,114.4132795727798,27.29052734,3.84004211,0.00000000,0.08602326,10.24046135,0.00000000,0.00000000,24.91045379638672,60.52298355102539,45.47956848144531,36.448890686035156,34.55287551879883,34.417240142822266,
2019-12-29 13:36:08:167,gps,30.507067554374398,114.41328797597689,26.68762207,3.62147617,0.00000000,0.08602326,10.17158699,0.00000000,0.00000000,25.063962936401367,60.80258560180664,45.46188735961914,35.786136627197266,34.61806106567383,34.312854766845696,
2019-12-29 13:36:09:171,gps,30.507064474039176,114.41328544760026,25.52429199,3.56681824,0.00000000,0.08602326,10.16119862,0.00000000,0.00000000,25.8190975189209,60.85982131958008,45.488670349121094,35.574920654296875,34.084300994873054,34.51431655883789,
2019-12-29 13:36:10:161,gps,30.507062814208265,114.4132826195716,24.84600830,3.54243135,0.00000000,0.08602326,10.15991974,0.00000000,0.00000000,27.541297912597656,65.09046173095703,45.82734680175781,37.05380630493164,31.74834632873535,30.364301681518555,
2019-12-29 13:36:11:164,gps,30.507060061110874,114.41329207225591,23.96832275,3.44651580,0.00000000,0.08602326,10.13498783,0.00000000,0.00000000,39.641353607177734,59.51928329467773,41.47509002685547,33.928024291992195,29.61713218688965,37.943763732910156,
2019-12-29 13:36:12:166,gps,30.507059430184867,114.41329513990372,23.85852051,3.20226026,0.00000000,0.08602326,10.05617714,0.00000000,0.00000000,43.87949752807617,64.03375244140625,43.15988159179688,31.892980575561523,31.97477912902832,33.14067840576172,
2019-12-29 13:36:13:171,gps,30.507056837813494,114.41330174472998,23.90686035,3.11910653,0.00000000,0.08602326,10.03725910,0.00000000,0.00000000,40.850830078125,62.38304138183594,45.49833297729492,33.10434341430664,34.633811950683594,34.219322204589844,
2019-12-29 13:36:14:168,gps,30.507057377441757,114.41330398309995,24.17218018,2.92117906,0.00000000,0.08602326,9.97298336,0.00000000,0.00000000,40.629642486572266,62.42597579956055,46.01913452148438,33.398483276367195,35.10611724853516,34.31992721557617,
2019-12-29 13:36:15:167,gps,30.507050365282577,114.41330407242066,23.52600098,2.62499213,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,41.10074996948242,62.369056701660156,46.71427917480469,33.64719390869141,35.39634323120117,34.44456100463867,
2019-12-29 13:36:16:165,gps,30.5070500747246,114.41330603092761,22.80902100,2.54095912,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,40.739315032958984,62.150962829589844,46.44468688964844,34.262157440185554,35.69838333129883,34.323272705078125,
2019-12-29 13:36:17:164,gps,30.507049224125115,114.41330744978994,22.25634766,2.56047535,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,40.1065673828125,62.07375717163086,46.26471710205078,34.49201202392578,35.52368927001953,34.743515014648445,
2019-12-29 13:36:18:164,gps,30.507048594599123,114.41330467181687,22.35699463,2.56233931,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,40.297889709472656,62.1043701171875,46.670936584472656,34.735397338867195,35.69247436523437,34.420413970947266,
2019-12-29 13:36:19:168,gps,30.50704771508753,114.41330151410608,22.38928223,2.59779215,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,42.06663131713867,62.16160583496094,46.99490737915039,34.78523635864258,34.775955200195305,34.55856704711914,
2019-12-29 13:36:20:167,gps,30.50704602321404,114.41330717971283,21.78479004,2.70622253,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,40.75883865356445,61.99401473999024,47.2026481628418,34.300315856933594,34.96942901611328,34.64469146728516,
2019-12-29 13:36:21:164,gps,30.507041981296513,114.41331003721797,21.98730469,2.64582419,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,40.67485427856445,62.25279235839844,46.882789611816406,33.827980041503906,35.19182205200195,35.00821304321289,
2019-12-29 13:36:22:165,gps,30.507038690480332,114.41330925751507,21.82275391,2.68942809,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,41.15504455566406,62.14388656616211,47.01014709472656,34.05948257446289,35.160675048828125,35.08461761474609,
2019-12-29 13:36:23:160,gps,30.507036530099782,114.41330809819537,21.02606201,2.77734733,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,41.03840255737305,62.579856872558594,47.61164093017578,34.28709030151367,34.71598434448242,34.65795135498047,
2019-12-29 13:36:24:164,gps,30.507034310594467,114.41330321166359,20.53985596,2.68415070,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,40.53778076171875,62.080421447753906,47.13915634155274,34.547325134277344,34.750720977783196,34.81404495239258,
2019-12-29 13:36:25:165,gps,30.50703283923588,114.41330700868966,20.81433105,2.50000000,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,39.967491149902344,61.938392639160156,47.24361038208008,34.91415786743164,35.14394760131836,34.677345275878906,
2019-12-29 13:36:26:158,gps,30.50702906645327,114.41331381325911,20.71569824,2.63910842,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,40.81605911254883,62.29343795776367,47.20794677734375,34.515609741210945,34.79108047485352,35.33010482788086,
2019-12-29 13:36:27:162,gps,30.507026325584217,114.41331395291502,20.85455322,2.81808543,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,40.8384895324707,61.95788192749024,47.68063735961914,34.116065979003906,34.97443008422852,35.070728302001946,
2019-12-29 13:36:28:165,gps,30.507024325432642,114.4133120441715,20.94940186,2.70376277,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,39.66549301147461,61.853797912597656,46.55306243896485,34.773956298828125,35.63883590698242,35.927364349365234,
2019-12-29 13:36:29:166,gps,30.507025775905948,114.41331191439546,20.74353027,2.61762452,0.00000000,0.08602326,9.93504620,0.00000000,0.00000000,39.49876403808594,61.15948486328125,45.464332580566406,35.95552444458008,35.09374237060547,35.90672302246094,
2019-12-29 13:36:30:159,gps,30.50703088692423,114.41331416315572,21.13922119,2.88787842,0.00000000,0.08602326,9.95369244,0.00000000,0.00000000,39.131736755371094,59.92637634277344,44.253517150878906,29.358163833618164,33.867446899414055,33.78527069091797,
2019-12-29 13:36:31:168,gps,30.507029435336918,114.4133189294544,21.46258545,3.13745451,0.00000000,0.08602326,10.04394054,0.00000000,0.00000000,38.809139251708984,59.70198059082031,41.12384796142578,32.43789291381836,30.41385841369629,33.456043243408196,
2019-12-29 13:36:32:174,gps,30.507033027406358,114.4133148728105,21.58972168,3.31442785,0.28000000,0.85440040,10.11381245,7.30000019,80.14237976,43.91194152832031,62.39550018310547,41.52786254882813,33.58458709716797,31.73775291442871,31.732440948486328,
2019-12-29 13:36:33:164,gps,30.507046480926654,114.41331729217102,21.92926025,3.40319777,1.78999996,0.39824617,10.15435314,7.30000019,8.48960018,39.48112869262695,64.19261169433594,38.40363311767578,33.916732788085945,29.90451240539551,30.68383026123047,
2019-12-29 13:36:34:160,gps,30.507066627217032,114.4133166743937,21.52807617,3.70010614,2.91000009,1.38405204,10.27058506,1.20000005,23.94212723,39.10520935058594,60.72384643554688,41.08411407470703,32.25392532348633,28.164072036743164,32.22653961181641,
2019-12-29 13:36:35:162,gps,30.507103037220272,114.41332124414568,21.90063477,4.01863146,4.28999996,1.74315810,10.37716961,3.59999990,19.53337669,39.581787109375,58.53014373779297,39.61345291137695,32.96977996826172,34.90797805786133,34.501880645751946,
2019-12-29 13:36:36:166,gps,30.507144979011695,114.41332539469427,21.61004639,4.39046574,4.82999992,1.76139152,10.51795006,5.59999990,17.02805519,26.241294860839844,58.86357498168945,46.49052047729492,28.69013977050781,34.120792388916016,29.34641075134277,
2019-12-29 13:36:37:170,gps,30.507186100770525,114.41332864584547,21.56292725,4.31538439,4.34999990,1.78932953,10.44677448,3.59999990,19.01647949,31.011075973510742,61.76655578613281,44.48690414428711,24.12916755676269,33.242042541503906,30.408287048339844,
2019-12-29 13:36:38:165,gps,30.507223341813738,114.41332995811273,21.94677734,4.02298307,4.09000015,1.06508219,10.29359436,2.00000000,9.60313416,34.777610778808594,55.18719482421875,45.78649520874024,26.667537689208984,29.47319984436035,30.553281784057614,
2019-12-29 13:36:39:166,gps,30.507268537922396,114.41332030930015,22.41442871,3.88474441,5.25000000,0.80956781,10.22538567,352.00000000,4.36737251,24.710241317749023,66.84371185302734,44.29855728149414,25.96881103515625,31.52974510192871,29.988323211669922,
2019-12-29 13:36:40:158,gps,30.507317245217667,114.41331017115635,22.39111328,3.64147902,5.71000004,0.99357939,10.15570736,348.39999390,7.25044060,24.129779815673828,63.39180374145508,40.9893913269043,34.08495712280273,31.495702743530273,29.14504432678223,
2019-12-29 13:36:41:162,gps,30.507368064848166,114.41329295849036,22.53210449,3.71047568,6.01999998,1.13145924,10.19802284,339.00000000,8.76439857,24.218236923217773,63.92465209960938,49.29333114624024,21.624855041503906,28.893510818481445,36.773704528808594,
2019-12-29 13:36:42:164,gps,30.507426189619054,114.41326347562058,23.76220703,3.80259228,6.84000015,0.97000003,10.10011578,328.00000000,6.16675568,32.2671012878418,64.41935729980469,51.78660202026367,33.18170166015625,29.01350402832031,36.27903366088867,
2019-12-29 13:36:43:162,gps,30.507478285893413,114.41321968284781,24.02044678,3.72645640,7.15000010,0.98229325,10.00210094,315.10000610,5.21800137,21.814884185791016,59.46022033691406,50.5063591003418,39.52494812011719,32.455780029296875,34.56692123413086,
2019-12-29 13:36:44:167,gps,30.50751004208241,114.41314927795378,23.20190430,3.85229445,8.11999989,1.21823645,10.03123093,295.29998779,6.04673815,29.6058349609375,57.2398910522461,50.23920440673828,39.778541564941406,31.639663696289066,37.83218002319336,
2019-12-29 13:36:45:164,gps,30.50753298958294,114.41306044563153,23.22113037,3.80984163,9.72000027,1.32136297,10.12711620,275.79998779,5.62200403,31.278690338134766,61.47584533691406,56.214881896972656,31.83402442932129,32.569351196289055,34.29308319091797,
2019-12-29 13:36:46:160,gps,30.50754724058264,114.41294257340549,22.17712402,4.09031248,11.43999958,1.37000000,10.28540134,273.89999390,5.00634861,23.694992065429688,58.93049240112305,48.94696044921875,36.01919174194336,31.843374252319336,39.64196014404297,
2019-12-29 13:36:47:169,gps,30.507555650639155,114.41281799483215,21.79058838,3.86222577,12.48999977,1.56540728,10.45772171,274.50000000,4.79106045,19.61885643005371,55.78124237060547,49.39777374267578,32.94015121459961,32.429412841796875,35.23234558105469,
2019-12-29 13:36:48:160,gps,30.507571825930352,114.4126766282125,23.18463135,3.81578207,14.22999954,1.69000006,10.37473679,275.10000610,4.14935350,25.149797439575195,58.15801620483398,42.26387405395508,40.38654327392578,29.5374755859375,37.53409957885742,
2019-12-29 13:36:49:170,gps,30.5075867229497,114.4125205609172,23.28521729,4.62500238,15.43000031,1.68014884,10.76891708,275.29998779,3.67698336,28.647838592529297,60.7027587890625,50.93583679199219,37.33789825439453,37.60000991821289,39.13365936279297,
2019-12-29 13:36:50:158,gps,30.50759596765394,114.41236196367949,24.08703613,4.30614042,15.52999973,1.67475367,10.77098370,274.39999390,3.55248094,26.183067321777344,63.892250061035156,46.15947341918945,35.15813446044922,29.57967567443848,37.88105010986328,
2019-12-29 13:36:51:161,gps,30.507612136251083,114.41218809637307,23.72180176,4.70323944,16.82999992,1.55563498,10.82376671,275.79998779,3.37913990,29.700359344482422,62.7574691772461,50.580284118652344,34.956016540527344,31.91341590881348,34.18415069580078,
2019-12-29 13:36:52:158,gps,30.50763626791725,114.41200329572389,24.55834961,5.27314901,17.62999916,1.49281609,11.09402180,275.89999390,4.01297760,25.029865264892578,62.31550979614258,52.4552116394043,32.58215713500977,35.95745086669922,35.7227897644043,
2019-12-29 13:36:53:161,gps,30.507650614541305,114.41182155044405,24.88543701,4.79661798,17.71999931,1.57206869,11.42268181,275.89999390,3.84939599,30.5080509185791,60.67034912109375,50.93967819213867,35.113353729248054,31.598655700683594,33.83243560791016,
2019-12-29 13:36:54:169,gps,30.50766695992955,114.4116420621788,24.53955078,5.35567379,17.42000008,1.64939380,11.53942680,276.89999390,4.55775070,29.753074645996094,64.40245056152344,57.693931579589844,32.014312744140625,27.49796867370605,31.7489013671875,
2019-12-29 13:36:55:163,gps,30.507683353583733,114.41146456099699,24.42260742,5.49945021,16.92000008,1.67107749,11.37385654,277.20001221,4.99400568,33.815582275390625,59.01767349243164,53.20488739013672,43.03138732910156,31.53726005554199,31.96410369873047,
2019-12-29 13:36:56:166,gps,30.507700245951003,114.4112872981252,24.66241455,6.12026834,16.84000015,2.35849524,11.87123394,276.29998779,4.19414759,33.132286071777344,62.81197738647461,55.30774307250977,45.05902862548828,33.70032119750977,34.69489288330078,
2019-12-29 13:36:57:170,gps,30.50770618054956,114.411131299121,24.82421875,6.86431074,15.19999981,2.74116755,12.61596775,274.29998779,4.74084806,30.27764320373535,58.38943481445313,54.81405639648438,44.84883880615234,34.305740356445305,33.925899505615234,
2019-12-29 13:36:58:169,gps,30.50771331376111,114.41098023588123,25.49468994,7.67529964,14.52000046,2.82554412,13.41255951,272.20001221,5.03769016,26.843740463256836,65.27178192138672,43.73409652709961,40.40451431274414,35.15134429931641,35.37797927856445,
2019-12-29 13:36:59:168,gps,30.507723266997267,114.41082779260844,25.93450928,8.43667126,14.60000038,2.83425474,14.12784958,271.89999390,5.12392187,33.494449615478516,59.330848693847656,61.20756149291992,39.898250579833984,41.149497985839844,36.42599487304688,
2019-12-29 13:37:00:167,gps,30.507720216889634,114.4106617254442,26.05316162,9.21088505,15.81000042,2.04137206,14.21911812,271.20001221,3.64554811,33.50761795043945,59.10187149047852,45.11788558959961,36.20970153808594,27.60516929626465,33.159740447998054,
2019-12-29 13:37:01:171,gps,30.507715034483322,114.4104993444723,26.22949219,9.22664928,16.20000076,1.76980221,13.72791481,270.39999390,3.52174067,24.62919044494629,61.75704956054688,47.59717178344727,47.37116241455078,31.32417869567871,42.88122940063477,
2019-12-29 13:37:02:168,gps,30.507727967118182,114.41033063756292,26.58050537,8.68066120,15.17000008,1.68772030,12.96087646,268.39999390,3.54407001,31.977365493774414,63.42483139038086,53.65532684326172,43.02923202514648,35.840728759765625,38.6457405090332,
2019-12-29 13:37:03:169,gps,30.507718749308935,114.4101860530095,27.01593018,8.89662170,13.82999992,1.44810224,12.92709827,266.70001221,3.79580927,31.291074752807617,61.14595031738281,54.6559944152832,46.81489562988281,32.699169158935554,37.84313583374024,
